country_a,country_b,weight
Iran,United Kingdom,1
China,Russia,1
Austria,Czech Republic,1
Austria,Denmark,1
Austria,Spain,1
Czech Republic,Denmark,1
Czech Republic,Germany,1
Czech Republic,Italy,1
Czech Republic,Netherlands,1
Czech Republic,Poland,1
Czech Republic,Spain,1
Czech Republic,Switzerland,1
Czech Republic,United Kingdom,1
Denmark,Italy,1
Denmark,Poland,1
Netherlands,Poland,1
Malaysia,Saudi Arabia,1
Kenya,New Zealand,1
China,Iran,1
China,Poland,1
Iran,Poland,1
Iran,South Korea,1
Iran,United States,1
Poland,South Korea,1
Belgium,Israel,1
Denmark,Hungary,1
Germany,Hungary,1
Hungary,Netherlands,1
Hungary,Spain,1
Hungary,United Kingdom,1
Denmark,India,1
Ethiopia,Norway,1
Ethiopia,Uganda,1
Germany,Uganda,1
Norway,Sweden,1
Norway,Uganda,1
Sweden,Uganda,1
Bangladesh,Brazil,1
Bangladesh,Egypt,1
Bangladesh,Nepal,1
Bangladesh,Switzerland,1
Bangladesh,United Kingdom,1
Bangladesh,WHO (multilateral),1
Brazil,Egypt,1
Brazil,Nepal,1
Egypt,India,1
Egypt,Nepal,1
India,Nepal,1
Nepal,Switzerland,1
Nepal,United Kingdom,1
Nepal,WHO (multilateral),1
India,United Arab Emirates,1
Saudi Arabia,United Arab Emirates,1
Australia,Belgium,1
Australia,South Korea,1
Australia,Spain,1
Belgium,South Korea,1
China,Ethiopia,1
China,Ghana,1
Ethiopia,Ghana,1
Ethiopia,South Korea,1
Ghana,South Korea,1
Ghana,Sweden,1
South Korea,Sweden,1
Italy,South Africa,1
Canada,Ghana,1
Canada,Indonesia,1
Canada,Pakistan,1
Ghana,Indonesia,1
Ghana,Pakistan,1
Indonesia,Pakistan,1
Pakistan,Switzerland,1
Pakistan,WHO (multilateral),1
Finland,Iceland,1
Iceland,Netherlands,1
Iceland,Sweden,1
Australia,Finland,1
Australia,Netherlands,1
Canada,Finland,1
Finland,Japan,1
Finland,United States,1
Austria,Ireland,1
Austria,Norway,1
Austria,Tunisia,1
Belgium,Ireland,1
Belgium,Tunisia,1
France,Poland,1
France,Tunisia,1
Germany,Ireland,1
Germany,Tunisia,1
Ireland,Italy,1
Ireland,Norway,1
Ireland,Switzerland,1
Ireland,Tunisia,1
Italy,Norway,1
Italy,Tunisia,1
Norway,Tunisia,1
Poland,Tunisia,1
Switzerland,Tunisia,1
Tunisia,United Kingdom,1
Tunisia,United States,1
France,Portugal,1
Germany,Portugal,1
Italy,Portugal,1
Portugal,Spain,1
Portugal,Sweden,1
Portugal,United Kingdom,1
Spain,Sweden,1
India,Singapore,1
India,Sri Lanka,1
Indonesia,Singapore,1
Indonesia,Sri Lanka,1
Malaysia,Singapore,1
Malaysia,Sri Lanka,1
Malaysia,United States,1
Singapore,Sri Lanka,1
Sri Lanka,United States,1
Romania,Thailand,1
Ethiopia,Tanzania,1
Kenya,Sweden,1
Sweden,Tanzania,1
Ethiopia,Spain,1
Kenya,Spain,1
Indonesia,Italy,1
Italy,South Korea,1
Norway,Spain,1
Brazil,Norway,1
Brazil,South Africa,1
Norway,South Africa,1
Norway,WHO (multilateral),1
Indonesia,Japan,1
Indonesia,Philippines,1
Japan,Malaysia,1
Malaysia,Philippines,1
Malaysia,South Korea,1
Malaysia,Switzerland,1
Malaysia,WHO (multilateral),1
Philippines,Switzerland,1
South Korea,WHO (multilateral),1
Ghana,Uganda,1
Belgium,Ghana,1
Belgium,Kenya,1
Mexico,Spain,1
Nigeria,South Africa,1
Ghana,Morocco,1
Ghana,Philippines,1
Ghana,Thailand,1
Morocco,Nigeria,1
Morocco,Philippines,1
Morocco,Thailand,1
Morocco,United Kingdom,1
Morocco,Zimbabwe,1
Nigeria,Philippines,1
Nigeria,Thailand,1
Nigeria,Zimbabwe,1
Philippines,Thailand,1
Philippines,Zimbabwe,1
Thailand,Zimbabwe,1
France,Uganda,1
Australia,Israel,1
Brazil,Israel,1
Brazil,Singapore,1
Israel,Singapore,1
Israel,Switzerland,1
Israel,Romania,1
Romania,United Kingdom,1
Denmark,WHO (multilateral),1
Australia,Ethiopia,1
Australia,Senegal,1
Ethiopia,Senegal,1
Brazil,Ireland,1
China,Portugal,1
Nepal,South Korea,1
Australia,South Africa,1
Argentina,Colombia,1
Belgium,Colombia,1
Singapore,South Korea,1
Germany,South Africa,1
Germany,Tanzania,1
India,Nigeria,1
Indonesia,Nigeria,1
Brazil,China,1
Brazil,Sweden,1
Canada,Sweden,1
Germany,Japan,1
Japan,Sweden,1
Sweden,Switzerland,1
Austria,Canada,1
Austria,China,1
Austria,India,1
Austria,New Zealand,1
Austria,Thailand,1
Belgium,New Zealand,1
Belgium,Thailand,1
Canada,Thailand,1
China,France,1
China,Italy,1
China,New Zealand,1
China,Thailand,1
France,New Zealand,1
Germany,New Zealand,1
Germany,Thailand,1
India,Netherlands,1
India,New Zealand,1
Italy,New Zealand,1
Netherlands,New Zealand,1
Netherlands,Thailand,1
New Zealand,Switzerland,1
New Zealand,Thailand,1
Switzerland,Thailand,1
Thailand,United States,1
Argentina,France,1
Argentina,India,1
Argentina,Indonesia,1
Argentina,Switzerland,1
Argentina,United States,1
France,Indonesia,1
France,Kenya,1
France,Singapore,1
Singapore,Sweden,1
Australia,New Zealand,1
Ireland,New Zealand,1
Japan,Thailand,1
Australia,Philippines,1
Australia,WHO (multilateral),1
Norway,Tanzania,1
Croatia,Germany,1
Australia,Norway,1
Ghana,Tanzania,1
Canada,Spain,1
Canada,Zimbabwe,1
Spain,WHO (multilateral),1
Spain,Zimbabwe,1
Austria,Finland,1
Austria,Greece,1
Austria,Sweden,1
Belgium,Greece,1
Finland,Greece,1
Finland,Italy,1
Greece,Italy,1
Greece,Sweden,1
Greece,United Kingdom,1
Finland,Germany,1
Finland,Spain,1
Australia,Sweden,1
Belgium,Mexico,1
Indonesia,Mexico,1
Indonesia,South Africa,1
Mexico,South Africa,1
Mexico,United States,1
Mexico,WHO (multilateral),1
Brazil,Saudi Arabia,1
Brazil,Turkey,1
France,Saudi Arabia,1
France,Turkey,1
Germany,Saudi Arabia,1
Germany,Turkey,1
India,Spain,1
India,Turkey,1
Saudi Arabia,South Korea,1
Saudi Arabia,Spain,1
Saudi Arabia,Switzerland,1
Saudi Arabia,Turkey,1
South Korea,Turkey,1
Spain,Turkey,1
Switzerland,Turkey,1
Turkey,United States,1
Australia,Egypt,1
Australia,Thailand,1
Egypt,Thailand,1
Brazil,Mexico,1
Brazil,Russia,1
Mexico,Russia,1
Russia,United Kingdom,1
Bangladesh,South Korea,1
Colombia,Peru,1
Hungary,Turkey,1
Senegal,South Africa,1
Senegal,Uganda,1
